id,timestamp_logged,event,note,operator,start_time,end_time,reading_id_start,reading_id_end
1,2026-03-25 11:22:57,Other,Testing Volume,ahmed Test,2026-03-25 11:22,2026-03-25 11:22,9216,9218
2,2026-03-25 11:24:37,Water Change: 50%,Changed: 50%. Testing volume 2,ahmed,2026-03-25 11:24,2026-03-25 11:24,9231,9233
3,2026-03-25 15:31:51,Water Change: 34%,Changed: 34%. aa,ahmed Test,2026-03-25 15:31,2026-03-25 15:31,9294,9297
4,2026-03-25 15:36:36,Other,Testing ,ahmed Test,2026-03-25 15:35,2026-03-25 15:36,9326,9339
5,2026-03-25 17:16:14,Actuator: Pump Closed,"Actuator: Pump, State: Closed. Closed the pump for testing to check if do drops ",Ahmed Al Khaldi,2026-03-25 15:59,2026-03-25 17:16,9538,10221
6,2026-03-25 19:50:44,Feeding,Feeding spoon full,Ahmed Al Khaldi,2026-03-25 19:50,2026-03-25 19:50,11587,11590
7,2026-03-25 22:03:51,"Fish Weight: 5 fish, avg 36.2g","Weights: F1:56g, F2:43g, F3:15g, F4:33g, F5:34g | Avg: 36.2g | Total: 181.0g. Testing new functionality ",ahmed Test,2026-03-25 22:03,2026-03-25 22:03,12770,12771
8,2026-03-25 22:09:39,Other,"testing
",ahmed Test,2026-03-25 22:06,2026-03-25 22:09,12796,12823
9,2026-03-25 22:36:58,Maintenance,"Sensors are turned off cause of maintance and putting it into it chambror
",ahmed Test,2026-03-25 22:19,2026-03-25 22:36,12912,13065
10,2026-03-25 22:37:12,Fish Weight: No data,Fish Weight: No measurements,,2026-03-25 22:37,2026-03-25 22:37,13067,13067
11,2026-03-25 22:45:05,"Fish Weight: 6 fish, avg 111.0g","Weights: F1:122g, F2:107g, F3:111g, F4:107g, F5:105g, F6:114g | Avg: 111.0g | Total: 666.0g. First Week weight fish average ",ahmed,2026-03-25 22:45,2026-03-25 22:45,13136,13137
12,2026-03-25 23:15:37,Water Change: 50%,Changed: 50%. to test if ph will change ,ahmed,2026-03-25 22:45,2026-03-25 23:15,13140,13407
13,2026-03-26 11:44:33,Feeding,,Ahmed Al Khaldi,2026-03-26 11:43,2026-03-26 11:44,20037,20042
14,2026-03-26 14:10:18,Actuator: Pump Closed,"Actuator: Pump, State: Closed. For the actuator to rest ",Ahmed Al Khaldi,2026-03-26 12:29,2026-03-26 14:10,20442,21332
15,2026-03-26 17:47:22,Feeding,1 spoon,Ahmed Al Khaldi,2026-03-26 17:47,2026-03-26 17:47,23254,23255
16,2026-03-27 05:08:06,Other,I wake up realized that the areator is closed I do for since when but it’s open now ,Ahmed Al Khaldi,2026-03-27 05:08,2026-03-27 05:08,29283,29283
17,2026-03-27 10:51:42,Feeding,1 spoon,Ahmed Al Khaldi,2026-03-27 10:51,2026-03-27 10:51,32315,32317
18,2026-03-27 21:46:14,Other,Opened the house door so direct sunlight may enter ,Ahmed Al Khaldi,2026-03-27 15:24,2026-03-27 21:46,34729,38098
19,2026-03-27 21:46:48,Other,Opened the house door so direct sunlight may enter ,Ahmed Al Khaldi,2026-03-27 15:24,2026-03-27 21:46,34729,38105
20,2026-03-28 11:05:35,Feeding,Handful ,Ahmed Al Khaldi,2026-03-28 11:03,2026-03-28 11:05,45148,45165
