Feature,Importance_30min,Importance_6hr,Avg_Importance
hours_since_water_change,0.15609460788140306,0.2908421618231857,0.22346838485229437
do_roll_mean_3,0.265086178274805,0.014710929976570803,0.1398985541256879
hours_since_feeding,0.04484822601033167,0.1824096505387927,0.11362893827456219
hour,0.03466354065048269,0.1249139967939168,0.07978876872219975
do_min,0.08874797232758252,0.009116798753358316,0.04893238554047042
do_max,0.07547953434352546,0.013695276518172343,0.0445874054308489
do_mean,0.05496553773794896,0.010378962468019988,0.032672250102984475
ph_min,0.02575975125440433,0.03212930945401282,0.028944530354208575
temp_mean,0.018140173928959696,0.03675278510642136,0.02744647951769053
do_roll_mean_6,0.02312027766360156,0.02672203678073224,0.024921157222166902
ph_lag_1,0.01759863287487086,0.028777229477897882,0.02318793117638437
ph_mean,0.017950668900351414,0.023167146495414667,0.02055890769788304
temp_lag_1,0.012611826139696136,0.026354750952403777,0.019483288546049957
hour_cos,0.013977358276542182,0.022196721161383014,0.018087039718962597
hour_sin,0.012680498398964317,0.021281115165790117,0.016980806782377216
do_roll_std_6,0.014642832355150627,0.01845164055052466,0.016547236452837642
ph_max,0.014059558489895516,0.013423116359639373,0.013741337424767444
delta_temp,0.01517646250947606,0.009773335413809182,0.012474898961642621
do_lag_1,0.013641672109224382,0.010721052344048352,0.012181362226636367
do_roll_std_3,0.010391636246548009,0.01133241659528601,0.01086202642091701
do_last,0.012443838061493557,0.009228259823619507,0.010836048942556532
do_lag_2,0.010936947469923452,0.009758991226857201,0.010347969348390326
delta_ph,0.00983351577923733,0.00888148382896152,0.009357499804099424
do_range,0.007999557352081549,0.00960645460465845,0.008803005978369999
delta_do,0.007590896581491626,0.00851155413572809,0.008051225358609857
do_std,0.006976140488455257,0.008648590564308159,0.007812365526381707
temp_min,0.004796294475478529,0.010188313574373546,0.007492304024926038
temp_max,0.007559052714382465,0.006111866710938134,0.006835459712660299
reading_count,0.0012986156059663584,0.0012517591658546636,0.0012751873859105111
is_day,0.000551144360866391,0.000620924803135929,0.00058603458200116
has_water_change_history,0.0003391711565926017,1.0843674535967536e-05,0.00017500741556428462
has_feeding_history,1.4867188746779738e-05,2.334638843857638e-05,1.910678859267806e-05
do_outlier,1.999753331696088e-05,5.413842002924469e-06,1.2705687659942675e-05
delta_time_hours,3.0148582028219814e-06,1.7649272072912565e-06,2.389892705056619e-06
temp_outlier,0.0,0.0,0.0
ph_outlier,0.0,0.0,0.0
