timestamp,node_id,do_mean,do_min,do_max,do_std,do_last,do_slope,do_delta_prev,temp_mean,temp_min,temp_max,ph_mean,ph_min,ph_max,hour,hour_sin,hour_cos,minute_of_day,is_daylight,aerator_on,water_change,feeding,maintenance,reading_count,valid_window
2026-03-26T19:55:00,node_001,6.802,6.291,7.48,0.2811,6.6,-0.00488,0.0,26.96,26.96,27.03,8.181,8.161,8.202,19,-0.9659,0.2588,1195,0,0,0,0,0,24,1
2026-03-26T20:00:00,node_001,7.178,6.31,8.362,0.5104,6.614,-0.027,0.1878,26.96,26.96,27.03,8.183,8.157,8.203,20,-0.866,0.5,1200,0,0,0,0,0,44,1
2026-03-26T20:05:00,node_001,7.038,6.267,8.328,0.5486,7.065,-0.00979,-0.1399,26.96,26.96,26.96,8.184,8.161,8.209,20,-0.866,0.5,1205,0,0,0,0,0,45,1
2026-03-26T20:10:00,node_001,7.376,6.549,8.123,0.4053,7.474,0.02316,0.3379,26.96,26.96,27.03,8.183,8.162,8.206,20,-0.866,0.5,1210,0,0,0,0,0,43,1
2026-03-26T20:15:00,node_001,7.643,6.204,8.84,0.5903,6.204,-0.02364,0.267,26.96,26.96,27.03,8.18,8.16,8.207,20,-0.866,0.5,1215,0,0,0,0,0,45,1
2026-03-26T20:20:00,node_001,6.527,5.405,7.326,0.5206,7.249,0.02582,-1.1159,26.96,26.96,26.96,8.173,8.152,8.195,20,-0.866,0.5,1220,0,0,0,0,0,44,1
2026-03-26T20:25:00,node_001,7.718,6.664,8.861,0.5529,7.4,-0.0064,1.1906,26.96,26.96,27.03,8.167,8.144,8.188,20,-0.866,0.5,1225,0,0,0,0,0,44,1
2026-03-26T20:30:00,node_001,7.45,6.587,8.348,0.4588,7.184,0.00305,-0.2681,26.96,26.96,26.96,8.167,8.14,8.194,20,-0.866,0.5,1230,0,0,0,0,0,43,1
2026-03-26T20:35:00,node_001,7.214,6.497,8.203,0.4157,7.44,0.00966,-0.2357,26.97,26.96,27.03,8.172,8.143,8.204,20,-0.866,0.5,1235,0,0,0,0,0,45,1
2026-03-26T20:40:00,node_001,7.29,6.064,8.183,0.6029,7.854,0.0344,0.0756,26.96,26.96,27.03,8.166,8.139,8.185,20,-0.866,0.5,1240,0,0,0,0,0,44,1
2026-03-26T20:45:00,node_001,7.6,6.405,8.85,0.5609,7.64,0.02304,0.3099,26.96,26.96,27.03,8.161,8.142,8.189,20,-0.866,0.5,1245,0,0,0,0,0,43,1
2026-03-26T20:50:00,node_001,7.739,6.86,8.947,0.6067,6.9,-0.00413,0.1394,26.96,26.96,27.03,8.156,8.133,8.179,20,-0.866,0.5,1250,0,0,0,0,0,45,1
2026-03-26T20:55:00,node_001,7.806,6.617,9.049,0.6426,8.663,0.02002,0.0671,26.96,26.89,26.96,8.159,8.133,8.177,20,-0.866,0.5,1255,0,0,0,0,0,44,1
2026-03-26T21:00:00,node_001,7.686,6.925,8.849,0.5574,7.884,-0.02871,-0.12,26.96,26.89,27.03,8.157,8.129,8.176,21,-0.7071,0.7071,1260,0,0,0,0,0,44,1
2026-03-26T21:05:00,node_001,7.804,7.01,8.675,0.4207,7.888,0.01721,0.1182,26.97,26.96,27.03,8.175,8.143,8.217,21,-0.7071,0.7071,1265,0,0,0,0,0,44,1
2026-03-26T21:10:00,node_001,7.4,6.46,8.32,0.5341,6.727,-0.02865,-0.4036,26.97,26.96,27.03,8.161,8.146,8.182,21,-0.7071,0.7071,1270,0,0,0,0,0,44,1
2026-03-26T21:15:00,node_001,7.451,6.466,9.047,0.783,9.047,0.05014,0.0508,26.96,26.96,26.96,8.155,8.133,8.186,21,-0.7071,0.7071,1275,0,0,0,0,0,44,1
2026-03-26T21:20:00,node_001,8.323,7.38,9.157,0.4485,8.342,-0.0129,0.8715,26.96,26.96,27.03,8.15,8.129,8.177,21,-0.7071,0.7071,1280,0,0,0,0,0,44,1
2026-03-26T21:25:00,node_001,7.772,6.934,9.099,0.5789,8.2,-0.01984,-0.551,26.96,26.96,26.96,8.146,8.124,8.17,21,-0.7071,0.7071,1285,0,0,0,0,0,44,1
2026-03-26T21:30:00,node_001,8.034,7.369,8.649,0.3557,7.722,-0.07136,0.2618,26.96,26.96,26.96,8.147,8.125,8.161,21,-0.7071,0.7071,1290,0,0,0,0,0,12,1
2026-03-26T21:35:00,node_001,7.845,6.897,8.59,0.4016,7.691,-0.01332,-0.1886,26.96,26.96,27.03,8.137,8.115,8.168,21,-0.7071,0.7071,1295,0,0,0,0,0,44,1
2026-03-26T21:40:00,node_001,7.709,7.046,8.49,0.377,8.26,-0.00089,-0.0096,26.96,26.96,27.03,8.128,8.102,8.156,21,-0.7071,0.7071,1300,0,0,0,0,0,44,1
2026-03-26T21:45:00,node_001,7.551,6.369,8.629,0.6046,7.912,-0.02155,-0.1576,26.96,26.96,27.03,8.127,8.104,8.158,21,-0.7071,0.7071,1305,0,0,0,0,0,44,1
2026-03-26T21:50:00,node_001,6.891,5.941,8.239,0.6368,7.267,-0.03189,-0.6601,26.96,26.96,27.03,8.115,8.093,8.138,21,-0.7071,0.7071,1310,0,0,0,0,0,44,1
2026-03-26T21:55:00,node_001,7.371,6.552,8.189,0.4385,6.86,0.00468,0.4801,26.96,26.96,27.03,8.118,8.101,8.143,21,-0.7071,0.7071,1315,0,0,0,0,0,43,1
2026-03-26T22:00:00,node_001,7.261,6.413,8.125,0.4971,7.867,0.00625,-0.1097,26.96,26.96,27.03,8.12,8.098,8.148,22,-0.5,0.866,1320,0,0,0,0,0,45,1
2026-03-26T22:05:00,node_001,7.367,6.311,8.781,0.6326,7.111,-0.03183,0.106,26.96,26.96,27.03,8.122,8.098,8.143,22,-0.5,0.866,1325,0,0,0,0,0,44,1
2026-03-26T22:10:00,node_001,7.894,6.802,9.342,0.7534,7.877,0.03285,0.5268,26.96,26.96,26.96,8.128,8.106,8.152,22,-0.5,0.866,1330,0,0,0,0,0,43,1
2026-03-26T22:15:00,node_001,8.736,7.79,9.567,0.4068,8.75,-0.00749,0.8423,26.95,26.89,26.96,8.135,8.116,8.154,22,-0.5,0.866,1335,0,0,0,0,0,44,1
2026-03-26T22:20:00,node_001,8.327,7.546,9.246,0.3474,9.043,-0.00691,-0.4086,26.96,26.89,26.96,8.133,8.111,8.157,22,-0.5,0.866,1340,0,0,0,0,0,45,1
2026-03-26T22:25:00,node_001,8.509,7.654,9.363,0.4592,8.283,0.00447,0.1818,26.95,26.89,26.96,8.137,8.116,8.166,22,-0.5,0.866,1345,0,0,0,0,0,44,1
